image_path,label,label_name,set_type
/content/drive/MyDrive/Diseases_Project/Diseases_v2/Sett Rot/Sett Rot610.jpg,5,Sett Rot,train
/content/drive/MyDrive/Diseases_Project/Diseases_v2/Yellow Leaf/Yellow Leaf609.jpg,7,Yellow Leaf,train
/content/drive/MyDrive/Diseases_Project/Diseases_v2/Yellow Leaf/Yellow Leaf046.jpg,7,Yellow Leaf,train
/content/drive/MyDrive/Diseases_Project/Diseases_v2/Grassy shoot/image207.jpg,3,Grassy shoot,train
/content/drive/MyDrive/Diseases_Project/Diseases_v2/Sett Rot/Sett Rot366.jpg,5,Sett Rot,train
/content/drive/MyDrive/Diseases_Project/Diseases_v2/Brown Spot/image1685.jpg,1,Brown Spot,train
/content/drive/MyDrive/Diseases_Project/Diseases_v2/Banded Chlorosis/image028.jpg,0,Banded Chlorosis,train
/content/drive/MyDrive/Diseases_Project/Diseases_v2/Brown Spot/image1398.jpg,1,Brown Spot,train
/content/drive/MyDrive/Diseases_Project/Diseases_v2/Viral Disease/Viral Disease274.jpg,6,Viral Disease,train
/content/drive/MyDrive/Diseases_Project/Diseases_v2/Banded Chlorosis/image133.jpg,0,Banded Chlorosis,train
/content/drive/MyDrive/Diseases_Project/Diseases_v2/Brown Spot/image1008.jpg,1,Brown Spot,train
/content/drive/MyDrive/Diseases_Project/Diseases_v2/Sett Rot/Sett Rot584.jpg,5,Sett Rot,train
/content/drive/MyDrive/Diseases_Project/Diseases_v2/smut/Smut189.jpg,8,smut,train
/content/drive/MyDrive/Diseases_Project/Diseases_v2/Brown Spot/image1011.jpg,1,Brown Spot,train
/content/drive/MyDrive/Diseases_Project/Diseases_v2/Sett Rot/Sett Rot071.jpg,5,Sett Rot,train
/content/drive/MyDrive/Diseases_Project/Diseases_v2/Brown Spot/image1177.jpg,1,Brown Spot,train
/content/drive/MyDrive/Diseases_Project/Diseases_v2/Brown Spot/image776.jpg,1,Brown Spot,train
/content/drive/MyDrive/Diseases_Project/Diseases_v2/Banded Chlorosis/image427.jpg,0,Banded Chlorosis,train
/content/drive/MyDrive/Diseases_Project/Diseases_v2/Brown Spot/image1584.jpg,1,Brown Spot,train
/content/drive/MyDrive/Diseases_Project/Diseases_v2/Brown Spot/image1499.jpg,1,Brown Spot,train
